NUM_DEP;NOM_COM;CD_ME_niv1_surf;CD_ME_v2;CD_STATION;INDEX_STATION;NUM_COM;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;CD_STATION_;LAT_WSG84;LONG_WSG84
69;MIONS;DG334;;07224X0143/P;9912;69283;AERM&C;223.9;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07224X0143/P;4.97450181356;45.6712343374
69;MIONS;DG334;DG334;07224X0015/F3;9913;69283;AERM&C;222.5;32.4;Hors RCS et RCO;horsRCSRCODRIRE;;;;RCOseul;;;;;;;;oui;07224X0015/F3;4.96006613149;45.6693997213
69;MONSOLS;DG611;DG611;06493X0006/CPT;9860;69135;AERM&C;654.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;06493X0006/CPT;4.54521119008;46.2212804977
69;MONTAGNY;DG385;DG385;07226X0023/F;9861;69136;AERM&C;171.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;07226X0023/F;4.76958296693;45.6141439815
69;MONTROMANT;DG611;DG611;07213X0008/CPT;9862;69138;AERM&C;845.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;07213X0008/CPT;4.55797304245;45.712474032
69;PIERRE-BENITE;DG384;DG384;07222G0089/F15;9863;69152;AERM&C;163.6;18.7;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;;;oui;oui;oui;oui;oui;07222G0089/F15;4.82495040228;45.7083450275
69;POULE-LES-ECHARMEAUX;DG611;DG611;06496X0007/HY;9864;69160;AERM&C;790.0;;Hors RCS et RCO;;;;;;;oui;oui;;;;;;06496X0007/HY;4.50153705337;46.1302578588
69;PROPIERES;DG611;DG611;06492X0029/CPT;9865;69161;AELB;759.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;06492X0029/CPT;4.47911195633;46.1840827274
69;PROPIERES;GG043;GG043;06492X0005/HY;9867;69161;AELB;705.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;06492X0005/HY;4.44413023526;46.1848758351
69;PROPIERES;GG043;GG043;06492X0007/HY;9866;69161;AELB;780.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;06492X0007/HY;4.46582602718;46.1847207065
69;PUSIGNAN;DG334;DG334;06995X0033/S;9915;69285;AERM&C;205.5;25;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;;;;;06995X0033/S;5.03837218278;45.7633198573
69;PUSIGNAN;DG334;DG334;06995X0314/PZ;9914;69285;AERM&C;205.5;19;;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;;;oui;oui;oui;oui;oui;06995X0314/PZ;5.06724875307;45.7654162626
69;SAINT-BONNET-DE-MURE;DG334;;07224X0141/F;9917;69287;AERM&C;235.0;20;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07224X0141/F;5.01560521353;45.6827197071
69;SAINT-BONNET-DE-MURE;DG334;DG334;07224X0052/S;9916;69287;AERM&C;227.0;23.9;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;;;;;07224X0052/S;5.02955288181;45.7017766764
69;SAINT-CHRISTOPHE;DG611;DG611;06493X0013/CPT;9868;69185;AERM&C;641.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;06493X0013/CPT;4.55016421051;46.2415774369
69;SAINT-DIDIER-SUR-BEAUJEU;DG611;DG611;06497X0006/HY;9869;69196;AERM&C;700.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;06497X0006/HY;4.53070363702;46.1363909034
69;SAINT-IGNY-DE-VERS;GG043;GG043;06492X0008/HY;9871;69209;AELB;790.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;06492X0008/HY;4.45101199178;46.2306271613
