ANNEE;CD_PARAMETRE;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;2A;2B;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;TOT_FRANCE;Type;CODE_FONCTION;CODE_FAMILLE
2007;1108;0.025;0.06;0.044;0.02;0.02;0.01;0.013;0.053;0.013;0.041;0.01;0.016;0.011;0.057;0.01;0.044;0.062;0.038;0.008;0.026;0.053;0.021;0.047;0.02;0.046;0.036;0.093;0.037;0.021;0.014;0.018;0.018;0.076;0.021;0.019;0.023;0.035;0.044;0.038;0.025;0.03;0.043;0.029;0.016;0.054;0.058;0.014;0.014;0.017;0.023;0.033;0.054;0.027;0.022;0.026;0.066;0.019;0.032;0.03;0.025;0.046;0.039;0.028;0.009;0.027;0.023;0.01;0.024;0.035;0.024;0.025;0.056;0.041;0.025;0.025;0.046;0.145;0.072;0.031;0.027;0.022;0.029;0.023;0.011;0.035;0.032;0.017;0.018;0.055;0.024;0.037;0.029;0.025;0.21;0.073;0.038;no ref;H;Triazines et métabolites
2007;1109;0.026;0.023;0.016;0.015;0.011;0.014;0.027;0.014;0.03;0.016;0.029;0.016;0.029;0.021;0.011;0.026;0.034;0.012;0.005;0.019;0.015;0.006;0.028;0.028;0.031;0.05;0.015;0.011;0.025;0.025;0.026;0.01;0.044;0.025;0.029;0.012;0.025;0.021;0.025;0.026;0.021;0.017;0.027;0.019;0.031;0.027;0.01;0.01;0.017;0.011;0.021;0.017;0.012;0.015;0.012;0.014;0.012;0.013;0.011;0.006;0.031;0.017;0.006;0.008;0.025;0.016;0.035;0.009;0.012;0.025;0.016;0.024;0.01;0.025;0.025;0.041;0.04;0.032;0.017;0.022;0.013;0.02;0.019;0.032;0.015;0.018;0.007;0.014;0.016;0.018;0.034;0.038;0.031;0.036;0.033;0.021;no ref;H;Triazines et métabolites
2007;1111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ib;I,A;Organophosphorés
2007;1112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;U;H;Divers (organiques)
2007;1113;0.024;0.025;0.023;0.024;0.025;0.01;0.01;0.024;0.005;0.027;0.005;0.01;0.057;0.031;0.006;0.027;0.015;0.022;0.005;0.014;0.023;0.008;0.01;0.024;0.024;0.012;0.014;0.026;0.01;0.01;0.017;0.019;0.018;0.012;0.019;0.015;0.021;0.011;0.018;0.044;0.06;0.024;0.025;0.025;0.022;0.022;0.01;0.01;0.012;0.027;0.015;0.039;0.025;0.024;0.02;0.022;0.025;0.019;0.02;0.028;0.01;0.016;0.018;0.025;0.007;0.009;0.005;0.01;0.007;0.026;0.024;0.022;0.011;0.01;0.013;0.013;0.02;0.013;0.026;0.051;0.01;0.01;0.01;0.01;0.022;0.023;0.009;0.02;0.027;0.022;0.036;0.011;0.01;0.01;0.021;0.019;II;H;Diazines
2007;1120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;II;I;Pyréthrinoïdes
2007;1125;0.024;0.025;0.023;0.025;0.025;0.011;0.02;0.025;;0.025;0.02;0.025;0.02;0.022;0.025;0.025;0.025;0.01;;0.016;0.025;0.025;;0.025;0.02;0.011;0.011;0.025;0.02;0.02;0.014;;;0.05;0.017;0.024;0.012;0.01;0.02;0.021;;0.01;0.025;0.025;0.017;0.01;;;0.013;0.02;0.021;0.025;0.024;0.025;;0.025;0.025;;0.02;0.025;0.022;0.021;0.025;0.025;0.005;;0.02;;;0.024;0.025;0.023;0.011;0.02;0.021;0.017;0.011;0.012;0.024;0.024;0.05;;0.02;0.02;0.022;0.016;0.025;0.025;0.025;0.02;0.035;0.01;0.01;0.01;0.01;0.02;II;H;Divers (organiques)
2007;1126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;II;H;Divers (organiques)
2007;1127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no ref;F;Divers (organiques)
2007;1128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;U;F;Divers (organiques)
