;ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
9731;2012.0;02102X0024/S6;3.0;0.04;0.062;277.0;277.0;1.0;3.0
9732;2012.0;02104X0036/C3;4.0;0.02;0.03;277.0;277.0;1.0;1.0
9733;2012.0;02105X0012/C1-C2;3.0;0.0333333333333;0.05;277.0;277.0;1.0;3.0
9734;2012.0;02106X0018/C2;4.0;0.01;0.04;277.0;277.0;0.0;1.0
9735;2012.0;02111X0017/C1;5.0;0.0012;0.006;85.0;277.0;0.0;1.0
9736;2012.0;02116X0002/CA;2.0;0.0385;0.044;279.0;281.0;1.0;1.0
9737;2012.0;02121X0020/F1;4.0;0.07775;0.127;277.0;277.0;2.0;5.0
9738;2012.0;02123X0018/S6-DDA;4.0;0.091;0.163;277.0;277.0;2.0;9.0
9739;2012.0;02131X0017/F1;2.0;0.0195;0.039;277.0;277.0;0.0;4.0
9740;2012.0;02133X0012/F-AEP9;3.0;0.0137666666667;0.023;85.0;277.0;0.0;3.0
9741;2012.0;02134X0005/C1;3.0;0.0821;0.1393;277.0;277.0;1.0;5.0
9742;2012.0;02137X0011/S1;5.0;0.10386;0.31;85.0;277.0;1.0;5.0
9743;2012.0;02143X0031/F1;3.0;0.00333333333333;0.01;85.0;277.0;0.0;1.0
9744;2012.0;02153X0026/P;9.0;0.236111111111;1.004;277.0;277.0;5.0;11.0
9745;2012.0;02165X0020/PFAEP;2.0;0.0655;0.094;277.0;277.0;3.0;6.0
9746;2012.0;02176X0019/S;4.0;0.0965;0.146;277.0;278.0;1.0;4.0
9747;2012.0;02183X0039/F1;2.0;0.0015;0.003;239.0;283.0;0.0;1.0
9748;2012.0;02184X0001/SP;1.0;0.0;0.0;283.0;283.0;0.0;0.0
9749;2012.0;02185X0059/F;4.0;0.24425;0.297;239.0;283.0;3.0;6.0
9750;2012.0;02186X0040/REC;3.0;0.00733333333333;0.02;140.0;283.0;0.0;1.0
9751;2012.0;02191X0003/F;2.0;0.0;0.0;177.0;239.0;0.0;0.0
9752;2012.0;02198X0059/HY;4.0;0.283;0.38;239.0;283.0;5.0;8.0
9753;2012.0;02201X0072/F2;2.0;0.722;1.014;282.0;283.0;5.0;9.0
9754;2012.0;02204X0020/F2;2.0;0.16;0.17;153.0;239.0;2.0;3.0
9755;2012.0;02205X0098/P10;4.0;0.8175;1.21;177.0;283.0;5.0;7.0
9756;2012.0;02207X0029/F;7.0;0.197714285714;0.274;153.0;283.0;3.0;8.0
9757;2012.0;02208X0005/HY;6.0;1.06616666667;2.298;238.0;283.0;5.0;22.0
9758;2012.0;02222X0019/F1;10.0;0.2784;0.38;177.0;283.0;2.0;6.0
9759;2012.0;02226X0009/F1;10.0;0.7471;0.97;178.0;283.0;5.0;9.0
9760;2012.0;02231X0010/FAEP;6.0;0.481833333333;0.639;277.0;391.0;6.0;8.0
9761;2012.0;02237X0020/P;4.0;0.4665;0.748;277.0;277.0;5.0;10.0
9762;2012.0;02241X0006/PAEP;4.0;0.00075;0.003;277.0;277.0;0.0;1.0
9763;2012.0;02247X0001/FAEP1;4.0;0.10025;0.139;239.0;283.0;2.0;5.0
9764;2012.0;02251X0001/FAEP;5.0;0.129;0.212;277.0;391.0;7.0;9.0
9765;2012.0;02254X0001/FAEP;2.0;0.035;0.04;277.0;391.0;1.0;2.0
9766;2012.0;02257X0018/F1;1.0;0.0;0.0;277.0;277.0;0.0;0.0
9767;2012.0;02261X0080/F2;1.0;0.0;0.0;277.0;277.0;0.0;0.0
9768;2012.0;02262X0013/SAEP;4.0;0.0805;0.093;277.0;277.0;2.0;5.0
9769;2012.0;02262X0044/SAEP;4.0;0.04225;0.05;277.0;441.0;2.0;4.0
9770;2012.0;02264X1009/P;5.0;0.11086;0.156;277.0;391.0;3.0;8.0
9771;2012.0;02265X0011/FAEP;2.0;0.04;0.06;277.0;277.0;1.0;3.0
9772;2012.0;02267X0032/PAEP;1.0;0.03;0.03;277.0;277.0;3.0;3.0
9773;2012.0;02268X0079/CHANC1;4.0;0.0985;0.134;277.0;277.0;2.0;4.0
9774;2012.0;02273X0010/HY;5.0;0.0322;0.05;277.0;380.0;1.0;7.0
9775;2012.0;02273X0013/HY;4.0;0.00675;0.027;277.0;277.0;0.0;3.0
9776;2012.0;02275X0026/HY;5.0;0.06526;0.119;277.0;380.0;1.0;11.0
9777;2012.0;02282X0005/HY;6.0;0.005;0.03;379.0;409.0;0.0;1.0
9778;2012.0;02283X0005/F;4.0;0.0325;0.11;394.0;410.0;0.0;3.0
9779;2012.0;02287X0013/HY;5.0;0.07;0.18;394.0;409.0;0.0;4.0
9780;2012.0;02292X0044/F3;5.0;0.0;0.0;394.0;409.0;0.0;0.0
9781;2012.0;02294X0014/HY;5.0;0.0;0.0;394.0;409.0;0.0;0.0
