;CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014
10846;07023X0016/S265C;74265;SERRAVAL;74;AERM&C;1110.0;;74265_ _FRDG112;959060.630502;6529274.219;;DG112;Hors RCS et RCO;;;;;;oui;oui;;;;;;
10847;06798X0007/S266A;74266;SERVOZ;74;AERM&C;1080.0;;74266_ _FRDG403;995702.435903;6545300.7906;DG403;DG403;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10848;07014X0004/S268A;74268;SEYNOD;74;AERM&C;635.0;;74268_ _FRDG511;937267.299302;6532388.3591;DG144;DG511;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10849;06775X0005/F;74269;SEYSSEL;74;AERM&C;253.0;20;74269_FRDG511_FRDG330;919802.882802;6542983.9495;;DG330;Hors RCS et RCO;;;;;;oui;oui;oui;;;;;
10850;06552X0008/S271A;74271;SEYTROUX;74;AERM&C;1235.0;;74271_ _FRDG408;977982.197402;6575952.6643;;DG408;Hors RCS et RCO;;;;;;;;oui;;;;;
10851;06778X0085/S272B;74272;SILLINGY;74;AERM&C;550.0;;74272_ _FRDG511;933330.735402;6542587.7098;DG511;DG511;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10852;06777X0042/S272C;74272;SILLINGY;74;AERM&C;620.0;;74272_ _FRDG511;933592.694202;6544328.1703;DG511;DG511;Hors RCS et RCO;;;;;;oui;;;;;;;
10853;06776X0006/S274D;74274;VAL-DE-FIER;74;AERM&C;550.0;;74274_ _FRDG511;922991.757002;6541517.7385;DG511;DG511;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10854;07022X0024/S275C;74275;TALLOIRES;74;AERM&C;940.0;;74275_ _FRDG112;949584.005502;6530885.9929;DG112;DG112;Hors RCS et RCO;;;;;;;;oui;;;;;
10855;07022X0023/S275G;74275;TALLOIRES;74;AERM&C;930.0;;74275_ _FRDG112;950970.001102;6527796.2761;DG112;DG112;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10856;06556X0038/S276C;74276;TANINGES;74;AERM&C;1440.0;;74276_ _FRDG408;976268.544102;6562578.478;;DG408;Hors RCS et RCO;;;;;;;;oui;;;;;
10857;06556X0018/S1276B;74276;TANINGES;74;AERM&C;750.0;;74276_ _FRDG408;979126.258502;6565403.674;DG408;DG408;Hors RCS et RCO;;;;;;oui;;;;;;;
10858;06556X0028/S276E;74276;TANINGES;74;AERM&C;660.0;;74276_ _FRDG408;979423.764302;6562858.9052;DG408;DG408;Hors RCS et RCO;;;;;;oui;;;;;;;
10859;06555X0039/S278D;74278;THYEZ;74;AERM&C;600.0;;74278_ _FRDG408;972112.863602;6560511.0967;DG408;DG408;Hors RCS et RCO;;;;;;oui;oui;;;;;;
10860;06304X0008/S279B;74279;THOLLON-LES-MEMISES;74;AERM&C;1570.0;;74279_ _FRDG408;984624.736202;6593742.3585;DG408;DG408;Hors RCS et RCO;;;;;;;;oui;;;;;
10861;07023X0023/S280A;74280;THONES;74;AERM&C;1000.0;;74280_ _FRDG112;957438.705702;6538440.5527;DG112;DG112;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10862;07022X0078/F1;74280;THONES;74;AERM&C;825.0;39;74280_ _FRDG112;959990.870402;6536468.433;DG112;DG112;Hors RCS et RCO;;;;;;;;oui;;;;;
10863;06787X0004/S280Z;74280;THONES;74;AERM&C;810.0;;74280_ _FRDG112;955260.235702;6538059.7622;DG112;DG112;Hors RCS et RCO;;;;;;oui;;;;;;;
10864;06301X0110/F;74281;THONON-LES-BAINS;74;AERM&C;390.0;41.8;74281_ _FRDG242;969019.717402;6594427.8247;;DG242;Hors RCS et RCO;;;;;;oui;oui;oui;;;;;
10865;06301X0120/SCE;74281;THONON-LES-BAINS;74;AERM&C;450.0;;74281_ _FRDG242;969729.567002;6595324.5145;;DG242;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10866;06787X0003/S282C;74282;THORENS-GLIERES;74;AERM&C;970.0;;74282_ _FRDG112;954162.707602;6544569.5565;DG112;DG112;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10867;06786X0019/S282A;74282;THORENS-GLIERES;74;AERM&C;1280.0;;74282_ _FRDG112;958288.864102;6547981.3466;DG112;DG112;Hors RCS et RCO;;;;;;;;oui;;;;;
10868;06548X0047/S284A;74284;LA TOUR;74;AERM&C;950.0;;74284_ _FRDG408;965696.077602;6566665.0147;DG408;DG408;Hors RCS et RCO;;;;;;oui;;;;;;;
10869;06548X0044/S284G;74284;LA TOUR;74;AERM&C;785.0;;74284_ _FRDG408;965529.896802;6563279.1799;DG408;DG408;Hors RCS et RCO;;;;;;;oui;;;;;;
10870;06307X0015/S286E;74286;VACHERESSE;74;AERM&C;950.0;;74286_ _FRDG408;982983.634102;6586791.5158;DG408;DG408;Hors RCS et RCO;;;;;;oui;;;;;;;
10871;06307X0008/S286D;74286;VACHERESSE;74;AERM&C;1025.0;;74286_ _FRDG408;988972.033802;6585915.5384;DG408;DG408;Hors RCS et RCO;;;;;;;;oui;;;;;
10872;06777X0029/S289C;74289;VALLIERES;74;AERM&C;418.0;;74289_ _FRDG511;928270.639302;6538938.1377;DG511;DG511;Hors RCS et RCO;;;;;;oui;;;;;;;
10873;06777X0041/S292B;74292;VAULX;74;AERM&C;635.0;;74292_ _FRDG511;933865.758202;6538780.9855;DG511;DG511;Hors RCS et RCO;;;;;;oui;;;;;;;
10874;07021X0038/S299B;74299;VEYRIER-DU-LAC;74;AERM&C;790.0;;74299_ _FRDG112;947717.033902;6538213.7649;DG112;DG112;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10875;06544X0013/S301A;74301;VILLARD;74;AERM&C;1150.0;;74301_ _FRDG408;965094.385602;6573633.9995;DG408;DG408;Hors RCS et RCO;;;;;;oui;;;;;;;
10876;06787X0006/S302A;74302;LES VILLARDS-SUR-THONES;74;AERM&C;1050.0;;74302_ _FRDG112;961125.986402;6541252.1791;DG112;DG112;Hors RCS et RCO;;;;;;;;oui;;;;;
10877;06786X0005/S2303A;74303;VILLAZ;74;AERM&C;820.0;;74303_ _FRDG511;947370.452802;6543405.6671;DG511;DG511;Hors RCS et RCO;;;;;;;;oui;;;;;
10878;06548X0054/S1304B;74304;VILLE-EN-SALLAZ;74;AERM&C;785.0;;74304_ _FRDG408;964381.325302;6567398.4898;DG408;DG408;Hors RCS et RCO;;;;;;oui;;;;;;;
